"Date","Price","Open","High","Low","Vol.","Change %"
"08/11/2024","55.58","56.59","56.60","54.99","167.92M","-1.72%"
"08/04/2024","56.56","55.81","57.08","55.41","104.00M","-0.45%"
"07/28/2024","56.81","58.99","59.16","56.76","166.19M","-3.35%"
"07/21/2024","58.78","58.44","59.04","57.37","143.68M","0.57%"
"07/14/2024","58.44","60.05","60.41","57.79","96.40M","-2.86%"
"07/07/2024","60.17","60.32","60.47","59.13","72.17M","-1.07%"
"06/30/2024","60.82","59.96","62.00","59.73","95.37M","2.22%"
"06/23/2024","59.50","57.82","59.81","57.64","80.75M","2.29%"
"06/16/2024","58.17","57.41","58.92","57.22","93.25M","0.35%"
"06/09/2024","57.97","57.95","58.76","57.10","87.03M","0.35%"
"06/02/2024","57.77","60.09","60.10","57.63","89.08M","-4.41%"
"05/26/2024","60.43","62.07","62.44","60.04","66.99M","-2.89%"
"05/19/2024","62.23","63.24","64.16","61.75","90.68M","-1.66%"
"05/12/2024","63.28","61.87","63.45","60.68","97.68M","2.94%"
"05/05/2024","61.48","61.41","62.33","60.81","86.13M","0.47%"
"04/28/2024","61.19","60.13","61.60","60.05","75.39M","1.99%"
"04/21/2024","59.99","60.27","61.28","59.20","118.09M","-0.98%"
"04/14/2024","60.59","59.57","60.77","58.04","145.07M","2.81%"
"04/07/2024","58.93","58.43","61.07","58.14","139.95M","3.22%"
"03/31/2024","57.10","58.90","59.74","57.00","99.73M","-1.84%"
"03/24/2024","58.17","58.35","58.64","56.98","74.23M","-0.20%"
"03/17/2024","58.28","57.84","59.89","57.38","85.51M","1.99%"
"03/10/2024","57.14","59.29","59.83","56.76","222.20M","-5.42%"
"03/03/2024","60.42","61.28","61.93","60.04","113.28M","-1.30%"
"02/25/2024","61.21","60.90","61.94","59.91","125.46M","-0.74%"
"02/18/2024","61.67","61.36","63.22","59.67","155.37M","-0.44%"
"02/11/2024","61.95","60.40","62.53","59.53","70.59M","2.67%"
"02/04/2024","60.34","60.32","61.77","59.81","115.81M","-0.24%"
"01/28/2024","60.48","63.60","63.70","60.33","138.64M","-4.92%"
"01/21/2024","63.61","61.78","64.83","61.42","169.16M","2.06%"
"01/14/2024","62.33","65.19","65.71","62.28","169.19M","-5.01%"
"01/07/2024","65.62","67.68","68.24","65.57","96.26M","-3.97%"
"12/31/2023","68.33","71.03","71.56","67.84","83.13M","-3.30%"
"12/24/2023","70.66","70.62","70.98","70.17","42.52M","1.06%"
"12/17/2023","69.92","67.79","71.57","67.47","102.72M","3.43%"
"12/10/2023","67.60","65.97","68.01","65.68","104.36M","1.46%"
"12/03/2023","66.63","67.95","68.19","66.01","101.70M","-3.22%"
"11/26/2023","68.85","67.22","69.09","66.05","109.92M","1.99%"
"11/19/2023","67.50","67.30","69.74","66.97","134.79M","2.41%"
"11/12/2023","65.92","63.93","66.28","62.98","121.88M","3.76%"
"11/05/2023","63.53","63.22","63.75","61.48","115.96M","0.49%"
"10/29/2023","63.22","60.73","63.58","59.99","107.63M","5.37%"
"10/22/2023","59.99","55.40","60.16","55.15","143.96M","7.80%"
"10/15/2023","55.65","59.84","60.42","55.05","152.04M","-5.87%"
"10/08/2023","59.12","58.36","59.91","58.06","62.20M","-0.40%"
"10/01/2023","59.36","60.00","60.13","58.18","74.75M","-1.07%"
"09/24/2023","60.00","59.50","60.07","57.99","120.73M","-0.62%"
"09/17/2023","60.38","61.74","62.20","59.93","118.40M","-2.21%"
"09/10/2023","61.74","60.46","63.24","59.62","148.66M","4.24%"
"09/03/2023","59.23","61.51","62.20","58.81","89.82M","-3.16%"
"08/27/2023","61.17","55.43","61.26","55.29","152.22M","10.99%"
"08/20/2023","55.11","54.60","56.53","54.18","96.65M","1.39%"
"08/13/2023","54.36","55.92","55.97","54.16","172.86M","-3.73%"
"08/06/2023","56.46","58.31","58.75","56.22","158.54M","-3.03%"
"07/30/2023","58.23","58.61","60.06","57.31","143.42M","-0.10%"
"07/23/2023","58.29","58.35","62.62","58.19","154.40M","-0.25%"
"07/16/2023","58.44","58.89","59.03","57.71","92.14M","-1.18%"
"07/09/2023","59.13","55.59","59.72","55.44","139.01M","4.81%"
"07/02/2023","56.42","55.77","57.32","55.43","137.96M","1.93%"
"06/25/2023","55.35","56.50","57.99","55.35","142.37M","-2.55%"
"06/18/2023","56.80","60.03","60.03","56.28","122.19M","-5.41%"
"06/11/2023","60.05","58.44","60.50","57.49","185.68M","1.92%"
"06/04/2023","58.92","59.01","60.16","57.43","110.37M","0.62%"
"05/28/2023","58.56","58.04","58.78","54.74","250.78M","2.43%"
"05/21/2023","57.17","58.95","59.38","55.83","165.89M","-4.16%"
