"Date","Price","Open","High","Low","Vol.","Change %"
"04/16/2023","5.41","5.24","5.49","5.19","50.75M","3.42%"
"04/09/2023","5.23","5.41","5.92","5.14","84.09M","-2.54%"
"04/02/2023","5.37","5.68","5.69","5.24","48.31M","-5.12%"
"03/26/2023","5.66","5.71","5.83","5.48","34.12M","0.61%"
"03/19/2023","5.62","6.25","6.31","5.38","47.68M","-9.96%"
"03/12/2023","6.25","5.76","6.50","5.62","65.83M","7.32%"
"03/05/2023","5.82","5.80","6.17","5.71","54.60M","0.89%"
"02/26/2023","5.77","5.41","5.85","5.21","96.51M","7.46%"
"02/19/2023","5.37","5.54","5.58","5.16","43.37M","-4.26%"
"02/12/2023","5.61","5.64","5.88","5.52","67.99M","-0.60%"
"02/05/2023","5.64","6.50","6.51","5.59","91.72M","-14.03%"
"01/29/2023","6.56","6.84","7.02","6.42","85.68M","-4.11%"
"01/22/2023","6.84","7.06","7.24","6.82","41.07M","-1.95%"
"01/15/2023","6.98","7.11","7.18","6.78","42.07M","-2.15%"
"01/08/2023","7.13","7.10","7.55","7.00","66.21M","-0.95%"
"01/01/2023","7.20","7.39","7.40","6.79","53.75M","-2.87%"
